,ID,Bill,Treatment,Position,Tseen,Question,Response,Var,Q1,Q3a,Q5a,Q5b,Q5c,Q5d,Q5e,Q5f,Q5g,Q5h,Q5i,Q5j,Q5k,Q5l,Q5m,Q5n,Q5o,Q5p,Q5q,Q5r,Q6a,Q6b,Q6c,Q6d,Q6e,Q6f,Q6g,Q6h,Q6i,Q6j,Q6k,Q6l,Q6m,Q6n,Q6o,Q6p,Q6q,Q6r,Q7a,Q7b,Q7c,Q7d,Q7e,Q7f,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q9a,Q9b,Q9c,Q9d,Q10a,Q10b,Q10c,Q11a,Q11b,Q11c,Q11d,Q11e,Q11f,Q11g,Q12a,Q12b,Q12c,Q12d,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q13g,Q13h,Q13i,Q13j,Q14a,Q14b,Q14c,Q15a,GENDER,AGE,COUNTRY,EDUC,ECSTAT,PLACE,REGION,POLINT,RELIMP,RELQUANT
0,94,3,0,1,0,Q1,50,5,1,3,3,4,4,4,4,4,4,3,4,4,4,3,2,2,2,4,4,4,4,3,4,3,4,3,4,4,4,4,4,4,2,2,4,4,3,4,1,2,1,2,2,2,3,3,3,4,4,4,1,1,1,1,4,4,4,3,3,3,4,4,4,5,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,22,1,3,2,4,80,1,4,7
1,94,1,1,2,0,Q1,50,5,1,3,3,4,4,4,4,4,4,3,4,4,4,3,2,2,2,4,4,4,4,3,4,3,4,3,4,4,4,4,4,4,2,2,4,4,3,4,1,2,1,2,2,2,3,3,3,4,4,4,1,1,1,1,4,4,4,3,3,3,4,4,4,5,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,22,1,3,2,4,80,1,4,7
2,94,2,1,3,1,Q1,73,5,1,3,3,4,4,4,4,4,4,3,4,4,4,3,2,2,2,4,4,4,4,3,4,3,4,3,4,4,4,4,4,4,2,2,4,4,3,4,1,2,1,2,2,2,3,3,3,4,4,4,1,1,1,1,4,4,4,3,3,3,4,4,4,5,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,22,1,3,2,4,80,1,4,7
3,95,3,0,1,0,Q1,100,6,1,3,3,4,4,3,4,4,4,4,3,4,4,4,5,3,4,3,4,4,2,3,4,3,4,4,4,4,3,4,4,4,4,3,3,2,4,4,3,2,3,4,3,2,4,4,4,4,3,5,3,4,2,2,4,4,4,3,3,2,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,3,3,3,3,4,4,2,41,1,2,3,4,34,4,2,7
4,95,2,1,2,0,Q1,100,6,1,3,3,4,4,3,4,4,4,4,3,4,4,4,5,3,4,3,4,4,2,3,4,3,4,4,4,4,3,4,4,4,4,3,3,2,4,4,3,2,3,4,3,2,4,4,4,4,3,5,3,4,2,2,4,4,4,3,3,2,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,3,3,3,3,4,4,2,41,1,2,3,4,34,4,2,7
5,95,1,2,3,0,Q1,99,6,1,3,3,4,4,3,4,4,4,4,3,4,4,4,5,3,4,3,4,4,2,3,4,3,4,4,4,4,3,4,4,4,4,3,3,2,4,4,3,2,3,4,3,2,4,4,4,4,3,5,3,4,2,2,4,4,4,3,3,2,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,3,3,3,3,4,4,2,41,1,2,3,4,34,4,2,7
6,96,1,2,1,0,Q1,75,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,5,1,2,2,4,1,4,4,5,4,4,2,2,1,1,1,1,1,4,1,4,1,5,2,2,2,2,1,1,1,1,1,1,1,1,1,3,1,4,4,5,1,36,1,5,1,1,33,5,2,5
7,96,2,1,2,0,Q1,85,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,5,1,2,2,4,1,4,4,5,4,4,2,2,1,1,1,1,1,4,1,4,1,5,2,2,2,2,1,1,1,1,1,1,1,1,1,3,1,4,4,5,1,36,1,5,1,1,33,5,2,5
8,96,3,1,3,1,Q1,100,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,5,1,2,2,4,1,4,4,5,4,4,2,2,1,1,1,1,1,4,1,4,1,5,2,2,2,2,1,1,1,1,1,1,1,1,1,3,1,4,4,5,1,36,1,5,1,1,33,5,2,5
9,97,1,1,1,0,Q1,0,2,1,3,5,5,5,5,5,5,5,5,5,5,4,4,4,3,4,5,5,5,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,3,2,4,4,4,4,4,4,2,2,2,2,4,4,4,3,4,3,4,4,4,5,3,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,3,3,2,32,1,5,2,2,25,2,3,6
10,97,3,0,2,0,Q1,0,2,1,3,5,5,5,5,5,5,5,5,5,5,4,4,4,3,4,5,5,5,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,3,2,4,4,4,4,4,4,2,2,2,2,4,4,4,3,4,3,4,4,4,5,3,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,3,3,2,32,1,5,2,2,25,2,3,6
11,97,2,1,3,1,Q1,0,2,1,3,5,5,5,5,5,5,5,5,5,5,4,4,4,3,4,5,5,5,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,3,2,4,4,4,4,4,4,2,2,2,2,4,4,4,3,4,3,4,4,4,5,3,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,3,3,2,32,1,5,2,2,25,2,3,6
12,98,2,2,1,0,Q1,40,3,1,3,4,4,3,2,1,3,4,2,3,2,3,3,2,4,2,1,2,3,3,3,4,1,1,2,2,2,3,4,2,4,3,4,3,4,3,2,1,2,2,3,1,2,3,2,2,4,4,4,4,3,3,2,5,3,3,3,4,3,3,2,3,5,2,4,4,4,4,4,4,3,2,1,2,4,1,3,3,3,5,2,1,37,1,3,3,4,61,4,2,5
13,98,1,0,2,0,Q1,90,3,1,3,4,4,3,2,1,3,4,2,3,2,3,3,2,4,2,1,2,3,3,3,4,1,1,2,2,2,3,4,2,4,3,4,3,4,3,2,1,2,2,3,1,2,3,2,2,4,4,4,4,3,3,2,5,3,3,3,4,3,3,2,3,5,2,4,4,4,4,4,4,3,2,1,2,4,1,3,3,3,5,2,1,37,1,3,3,4,61,4,2,5
14,98,3,0,3,0,Q1,52,3,1,3,4,4,3,2,1,3,4,2,3,2,3,3,2,4,2,1,2,3,3,3,4,1,1,2,2,2,3,4,2,4,3,4,3,4,3,2,1,2,2,3,1,2,3,2,2,4,4,4,4,3,3,2,5,3,3,3,4,3,3,2,3,5,2,4,4,4,4,4,4,3,2,1,2,4,1,3,3,3,5,2,1,37,1,3,3,4,61,4,2,5
15,99,2,1,1,0,Q1,54,4,1,3,3,3,3,4,4,4,3,3,3,3,2,3,3,4,3,3,2,3,4,4,4,4,4,3,3,3,3,4,4,3,4,4,4,4,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,4,2,3,3,3,3,3,5,3,3,3,3,2,3,4,3,4,3,2,3,3,3,3,3,3,4,2,42,1,5,4,1,33,2,2,5
16,99,3,1,2,1,Q1,32,4,1,3,3,3,3,4,4,4,3,3,3,3,2,3,3,4,3,3,2,3,4,4,4,4,4,3,3,3,3,4,4,3,4,4,4,4,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,4,2,3,3,3,3,3,5,3,3,3,3,2,3,4,3,4,3,2,3,3,3,3,3,3,4,2,42,1,5,4,1,33,2,2,5
