status;invitation;relevance;lurker;recnum;code;itime;Q1;Q3a;Q5a;Q5b;Q5c;Q5d;Q5e;Q5f;Q5g;Q5h;Q5i;Q5j;Q5k;Q5l;Q5m;Q5n;Q5o;Q5p;Q5q;Q5r;Q6a;Q6b;Q6c;Q6d;Q6e;Q6f;Q6g;Q6h;Q6i;Q6j;Q6k;Q6l;Q6m;Q6n;Q6o;Q6p;Q6q;Q6r;Q7a;Q7b;Q7c;Q7d;Q7e;Q7f;Q8a;Q8b;Q8c;Q8d;Q8e;Q8f;Q9a;Q9b;Q9c;Q9d;Q10a;Q10b;Q10c;Q11a;Q11b;Q11c;Q11d;Q11e;Q11f;Q11g;Q12a;Q12b;Q12c;Q12d;Q13a;Q13b;Q13c;Q13d;Q13e;Q13f;Q13g;Q13h;Q13i;Q13j;Q14a;Q14b;Q14c;Q15a;Q17;Q18;Q19;Q20a;Q20b;Q21;Q22;Q23;Q24a;Q24b;V1B3T0;V1B3T1;V1B3T2;Q25;Q26;Q27;Q28a;Q28b;Q29;Q30;Q31;Q32a;Q32b;Q33;Q34;Q35;Q36a;Q36b;V2B2T0;V2B2T1;V2B2T2;Q37;Q38;Q39;Q40a;Q40b;Q41;Q42;Q43;Q44a;Q44b;Q45;Q46;Q47;Q48a;Q48b;V3B3T0;V3B3T1;V3B3T2;Q49;Q50;Q51;Q52a;Q52b;Q53;Q54;Q55;Q56a;Q56b;Q57;Q58;Q59;Q60a;Q60b;V4B1T0;V4B1T1;V4B1T2;Q61;Q62;Q63;Q64a;Q64b;Q65;Q66;Q67;Q68a;Q68b;Q69;Q70;Q71;Q72a;Q72b;V5B2T0;V5B2T1;V5B2T2;Q73;Q74;Q75;Q76a;Q76b;Q77;Q78;Q79;Q80a;Q80b;Q81;Q82;Q83;Q84a;Q84b;V6B1T0;V6B1T1;V6B1T2;Q85;Q86;Q87;Q88a;Q88b;Q89;Q89_3_text;Q90;Q91;Q91_2_text;Q92;Q93;Q94;Q95;Q96;Q97;Q98;random_15124694;random_15125852;random_15125933;random_15125048;random_15125972;random_15126093;random_15126095;random_15126101;random_15126105;random_15119837;random_1333244;random_1333248;random_1333252;random_1333706;random_1333708;random_1333710;random_1333713;random_1333715;random_1333717;random_1333720;random_1333722;random_1333724;random_1333727;random_1333729;random_1333731;random_1333734;random_1333736;random_1333738;t_insert;t_edit;date_0;date_1;date_2;date_3;date_4;date_5;date_6;date_7;date_8;date_9;date_10;date_11;date_12;date_13;date_14;date_15;date_16;date_17;date_18;date_19;date_20;date_21;date_22;Browser;BrowserVersion;OS;Device;Referer;Unsubscribed;Language
Status;Vabilo;Ustreznost;Prazna;Št. vnosa;Geslo;Datum;"Чтобы продолжить, пожалуйста, дайте согласие на участие в исследовании. Соглашаясь, вы подтверждаете, что понимаете два обстоятельства: данные будут собираться в анонимном и обобщенном виде; вы можете в любой момент прекратить участие в исследовании.";В этом вопросе выберите вариант согласен(-на);… дают мне возможность жить по-своему;… дают мне возможность быть самим(ой) собой;… дают мне возможность действовать в соответствие со своими ценностями;… относятся ко мне с симпатией;… уважают меня ;… доверяют мне;… помогают мне понять, на что я способен(а);… помогают мне достичь успеха в своих начинаниях;… создают условия для того, чтобы я мог(ла) раскрыть свои способности;… помогают мне почувствовать себя в безопасности;… защищают меня от внутренних и внешних угроз;… оберегают меня от опасностей;… делают мою жизнь понятной и предсказуемой;… помогают мне понять, что ждет меня в будущем;… обеспечивают мне уверенность в завтрашнем дне;… позволяют мне почувствовать себя частью группы;… создают атмосферу доверия и взаимопомощи;… создают ощущение, что вокруг меня много единомышленников;… дают мне возможность жить по-своему;… дают мне возможность быть самим(ой) собой;… дают мне возможность действовать в соответствие со своими ценностями;… относятся ко мне с симпатией;… уважают меня ;… доверяют мне;… помогают мне понять, на что я способен(а);… помогают мне достичь успеха в своих начинаниях;… создают условия для того, чтобы я мог(ла) раскрыть свои способности;… помогают мне почувствовать себя в безопасности;… защищают меня от внутренних и внешних угроз;… оберегают меня от опасностей;… делают мою жизнь понятной и предсказуемой;… помогают мне понять, что ждет меня в будущем;… обеспечивают мне уверенность в завтрашнем дне;… позволяют мне почувствовать себя частью группы;… создают атмосферу доверия и взаимопомощи;… создают ощущение, что вокруг меня много единомышленников;В основном моя жизнь близка к идеалу;Обстоятельства моей жизни исключительно благоприятны;Я полностью удовлетворен(а) своей жизнью;У меня есть в жизни то, что мне по-настоящему нужно;Если бы мне пришлось жить еще раз, я бы оставил(а) все как есть;В этом вопросе выберите вариант скорее не согласен(а);Большинство людей — добрые;Большинство людей заслуживают доверия;Большинство людей — честные;Большинство людей следуют принципу “каждый сам за себя”;Большинству людей нельзя доверять;Большинство людей готовы лгать, чтобы достичь своих целей;Я много знаю о политике;Я хорошо разбираюсь в политических проблемах;Я разбираюсь в политике лучше, чем большинство людей;У меня есть необходимые знания, чтобы участвовать в политике;Президенту России;Правительству России;Государственной Думе России;Я могу влиять на новые законы и решения властей;Я могу способствовать приходу к власти политического лидера, который меня устраивает;Я могу добиться исполнения уже принятых законов и решений властей;Совместными усилиями граждане России могут влиять на новые законы и решения властей;Совместными усилиями граждане России могут способствовать приходу к власти политического лидера, который их устраивает;Совместными усилиями граждане России могут добиться исполнения уже принятых законов и решений властей;В этом вопросе выберите вариант совершенно согласен(а);Жертвовать деньги на решение общественных проблем;Участвовать в деятельности инициативных групп или организаций, пытающихся решить конкретные общественные проблемы (например, транспортные, экологические и т.д.);Участвовать в деятельности инициативных групп или организаций, помогающих другим людям (например, детям, пожилым, тяжело больным);Участвовать в деятельности инициативных групп или организаций, которые защищают права сограждан;Сообщать представителям власти об общественных проблемах;Предлагать представителям власти способы решения общественных проблем;Обращаться к представителям власти за помощью в решении общественных проблем;Создавать и распространять сообщения, чтобы выразить поддержку представителям власти;Подписывать коллективные петиции, чтобы выразить поддержку представителям власти;Участвовать в уличных акциях, чтобы выразить поддержку представителям власти;Создавать и распространять сообщения, чтобы выразить несогласие с представителями власти;Подписывать коллективные петиции, чтобы выразить несогласие с представителями власти;Участвовать в уличных акциях, чтобы выразить несогласие с представителями власти;В этом вопросе выберите вариант не уверен;С помощью сильного лидера, которому не нужно беспокоиться о парламенте и выборах;С помощью экспертов, которые принимают решения, исходя из того, что, по их мнению, лучше для страны ;С помощью избранных представителей власти, которые ответственны перед избирателями ;А. Интересы государства должны всегда ставиться выше, чем интересы отдельных граждан;"Насколько этот законопроект важен лично для вас? Пожалуйста, оцените его важность по шкале от 0 до 100. Оценка ""0"" означает, что этот законопроект совершенно не важен для вас; оценка ""100"" -  очень важен для вас. ";"Пожалуйста, оцените свое отношение к этому законопроекту по шкале от 0 до 100. Оценка ""0"" означает, что вы относитесь к этому законопроекту максимально негативно; оценка ""100"" -  максимально позитивно; оценка ""50"" - безразлично, равнодушно. ";Представьте, что вы стали депутатом Государственной думы. Проголосовали или не проголосовали бы вы за этот законопроект? ;Этот законопроект нарушает права и свободы человека ;Этот законопроект позволяет защитить национальные интересы России  ;"Насколько этот законопроект важен лично для вас? Пожалуйста, оцените его важность по шкале от 0 до 100. Оценка ""0"" означает, что этот законопроект совершенно не важен для вас; оценка ""100"" -  очень важен для вас. ";"Пожалуйста, оцените свое отношение к этому законопроекту по шкале от 0 до 100. Оценка ""0"" означает, что вы относитесь к этому законопроекту максимально негативно; оценка ""100"" -  максимально позитивно; оценка ""50"" - безразлично, равнодушно. ";Представьте, что вы стали депутатом Государственной думы. Проголосовали или не проголосовали бы вы за этот законопроект? ;Этот законопроект нарушает права и свободы человека ;Этот законопроект позволяет защитить национальные интересы России  ;Третий законопроект предполагает введение запрета на усыновление детей семейными парами, которые не зарегистрировали свой брак. ;Третий законопроект предполагает введение запрета на усыновление детей семейными парами, которые не зарегистрировали свой брак. Приглашенные эксперты сделали заключение о том, что соответствующий закон нарушает права и свободы человека. ;Третий законопроект предполагает введение запрета на усыновление детей семейными парами, которые не зарегистрировали свой брак. Приглашенные эксперты сделали заключение о том, что соответствующий закон позволяет защитить национальные интересы России. ;"Насколько этот законопроект важен лично для вас? Пожалуйста, оцените его важность по шкале от 0 до 100. Оценка ""0"" означает, что этот законопроект совершенно не важен для вас; оценка ""100"" -  очень важен для вас. ";"Пожалуйста, оцените свое отношение к этому законопроекту по шкале от 0 до 100. Оценка ""0"" означает, что вы относитесь к этому законопроекту максимально негативно; оценка ""100"" -  максимально позитивно; оценка ""50"" - безразлично, равнодушно. ";Представьте, что вы стали депутатом Государственной думы. Проголосовали или не проголосовали бы вы за этот законопроект? ;Этот законопроект нарушает права и свободы человека ;Этот законопроект позволяет защитить национальные интересы России  ;"Насколько этот законопроект важен лично для вас? Пожалуйста, оцените его важность по шкале от 0 до 100. Оценка ""0"" означает, что этот законопроект совершенно не важен для вас; оценка ""100"" -  очень важен для вас. ";"Пожалуйста, оцените свое отношение к этому законопроекту по шкале от 0 до 100. Оценка ""0"" означает, что вы относитесь к этому законопроекту максимально негативно; оценка ""100"" -  максимально позитивно; оценка ""50"" - безразлично, равнодушно. ";Представьте, что вы стали депутатом Государственной думы. Проголосовали или не проголосовали бы вы за этот законопроект? ;Этот законопроект нарушает права и свободы человека ;Этот законопроект позволяет защитить национальные интересы России  ;"Насколько этот законопроект важен лично для вас? Пожалуйста, оцените его важность по шкале от 0 до 100. Оценка ""0"" означает, что этот законопроект совершенно не важен для вас; оценка ""100"" -  очень важен для вас. ";"Пожалуйста, оцените свое отношение к этому законопроекту по шкале от 0 до 100. Оценка ""0"" означает, что вы относитесь к этому законопроекту максимально негативно; оценка ""100"" -  максимально позитивно; оценка ""50"" - безразлично, равнодушно. ";Представьте, что вы стали депутатом Государственной думы. Проголосовали или не проголосовали бы вы за этот законопроект? ;Этот законопроект нарушает права и свободы человека ;Этот законопроект позволяет защитить национальные интересы России  ;Третий законопроект предполагает введение полного запрета на процедуру аборта и уголовной ответственности для женщины, сделавшей его. ;Третий законопроект предполагает введение полного запрета на процедуру аборта и уголовной ответственности для женщины, сделавшей его. Приглашенные эксперты сделали заключение о том, что соответствующий закон нарушает права и свободы человека. ;Третий законопроект предполагает введение полного запрета на процедуру аборта и уголовной ответственности для женщины, сделавшей его. Приглашенные эксперты сделали заключение о том, что соответствующий закон позволяет защитить национальные интересы России. ;"Насколько этот законопроект важен лично для вас? Пожалуйста, оцените его важность по шкале от 0 до 100. Оценка ""0"" означает, что этот законопроект совершенно не важен для вас; оценка ""100"" -  очень важен для вас. ";"Пожалуйста, оцените свое отношение к этому законопроекту по шкале от 0 до 100. Оценка ""0"" означает, что вы относитесь к этому законопроекту максимально негативно; оценка ""100"" -  максимально позитивно; оценка ""50"" - безразлично, равнодушно. ";Представьте, что вы стали депутатом Государственной думы. Проголосовали или не проголосовали бы вы за этот законопроект? ;Этот законопроект нарушает права и свободы человека ;Этот законопроект позволяет защитить национальные интересы России  ;"Насколько этот законопроект важен лично для вас? Пожалуйста, оцените его важность по шкале от 0 до 100. Оценка ""0"" означает, что этот законопроект совершенно не важен для вас; оценка ""100"" -  очень важен для вас. ";"Пожалуйста, оцените свое отношение к этому законопроекту по шкале от 0 до 100. Оценка ""0"" означает, что вы относитесь к этому законопроекту максимально негативно; оценка ""100"" -  максимально позитивно; оценка ""50"" - безразлично, равнодушно. ";Представьте, что вы стали депутатом Государственной думы. Проголосовали или не проголосовали бы вы за этот законопроект? ;Этот законопроект нарушает права и свободы человека ;Этот законопроект позволяет защитить национальные интересы России  ;"Насколько этот законопроект важен лично для вас? Пожалуйста, оцените его важность по шкале от 0 до 100. Оценка ""0"" означает, что этот законопроект совершенно не важен для вас; оценка ""100"" -  очень важен для вас. ";"Пожалуйста, оцените свое отношение к этому законопроекту по шкале от 0 до 100. Оценка ""0"" означает, что вы относитесь к этому законопроекту максимально негативно; оценка ""100"" -  максимально позитивно; оценка ""50"" - безразлично, равнодушно. ";Представьте, что вы стали депутатом Государственной думы. Проголосовали или не проголосовали бы вы за этот законопроект? ;Этот законопроект нарушает права и свободы человека ;Этот законопроект позволяет защитить национальные интересы России  ;Третий законопроект предполагает введение запрета на усыновление детей семейными парами, которые не зарегистрировали свой брак. ;Третий законопроект предполагает введение запрета на усыновление детей семейными парами, которые не зарегистрировали свой брак. Приглашенные эксперты сделали заключение о том, что соответствующий закон нарушает права и свободы человека. ;Третий законопроект предполагает введение запрета на усыновление детей семейными парами, которые не зарегистрировали свой брак. Приглашенные эксперты сделали заключение о том, что соответствующий закон позволяет защитить национальные интересы России. ;"Насколько этот законопроект важен лично для вас? Пожалуйста, оцените его важность по шкале от 0 до 100. Оценка ""0"" означает, что этот законопроект совершенно не важен для вас; оценка ""100"" -  очень важен для вас. ";"Пожалуйста, оцените свое отношение к этому законопроекту по шкале от 0 до 100. Оценка ""0"" означает, что вы относитесь к этому законопроекту максимально негативно; оценка ""100"" -  максимально позитивно; оценка ""50"" - безразлично, равнодушно. ";Представьте, что вы стали депутатом Государственной думы. Проголосовали или не проголосовали бы вы за этот законопроект? ;Этот законопроект нарушает права и свободы человека ;Этот законопроект позволяет защитить национальные интересы России  ;"Насколько этот законопроект важен лично для вас? Пожалуйста, оцените его важность по шкале от 0 до 100. Оценка ""0"" означает, что этот законопроект совершенно не важен для вас; оценка ""100"" -  очень важен для вас. ";"Пожалуйста, оцените свое отношение к этому законопроекту по шкале от 0 до 100. Оценка ""0"" означает, что вы относитесь к этому законопроекту максимально негативно; оценка ""100"" -  максимально позитивно; оценка ""50"" - безразлично, равнодушно. ";Представьте, что вы стали депутатом Государственной думы. Проголосовали или не проголосовали бы вы за этот законопроект? ;Этот законопроект нарушает права и свободы человека ;Этот законопроект позволяет защитить национальные интересы России  ;"Насколько этот законопроект важен лично для вас? Пожалуйста, оцените его важность по шкале от 0 до 100. Оценка ""0"" означает, что этот законопроект совершенно не важен для вас; оценка ""100"" -  очень важен для вас. ";"Пожалуйста, оцените свое отношение к этому законопроекту по шкале от 0 до 100. Оценка ""0"" означает, что вы относитесь к этому законопроекту максимально негативно; оценка ""100"" -  максимально позитивно; оценка ""50"" - безразлично, равнодушно. ";Представьте, что вы стали депутатом Государственной думы. Проголосовали или не проголосовали бы вы за этот законопроект? ;Этот законопроект нарушает права и свободы человека ;Этот законопроект позволяет защитить национальные интересы России  ;Третий законопроект предполагает введение административной ответственности (штрафа) для мужчин, которые носят макияж в общественных местах. ;Третий законопроект предполагает введение административной ответственности (штрафа) для мужчин, которые носят макияж в общественных местах. Приглашенные эксперты сделали заключение о том, что соответствующий закон нарушает права и свободы человека.  ;Третий законопроект предполагает введение административной ответственности (штрафа) для мужчин, которые носят макияж в общественных местах. Приглашенные эксперты сделали заключение о том, что соответствующий закон позволяет защитить национальные интересы России. ;"Насколько этот законопроект важен лично для вас? Пожалуйста, оцените его важность по шкале от 0 до 100. Оценка ""0"" означает, что этот законопроект совершенно не важен для вас; оценка ""100"" -  очень важен для вас. ";"Пожалуйста, оцените свое отношение к этому законопроекту по шкале от 0 до 100. Оценка ""0"" означает, что вы относитесь к этому законопроекту максимально негативно; оценка ""100"" -  максимально позитивно; оценка ""50"" - безразлично, равнодушно. ";Представьте, что вы стали депутатом Государственной думы. Проголосовали или не проголосовали бы вы за этот законопроект? ;Этот законопроект нарушает права и свободы человека ;Этот законопроект позволяет защитить национальные интересы России  ;"Насколько этот законопроект важен лично для вас? Пожалуйста, оцените его важность по шкале от 0 до 100. Оценка ""0"" означает, что этот законопроект совершенно не важен для вас; оценка ""100"" -  очень важен для вас. ";"Пожалуйста, оцените свое отношение к этому законопроекту по шкале от 0 до 100. Оценка ""0"" означает, что вы относитесь к этому законопроекту максимально негативно; оценка ""100"" -  максимально позитивно; оценка ""50"" - безразлично, равнодушно. ";Представьте, что вы стали депутатом Государственной думы. Проголосовали или не проголосовали бы вы за этот законопроект? ;Этот законопроект нарушает права и свободы человека ;Этот законопроект позволяет защитить национальные интересы России  ;"Насколько этот законопроект важен лично для вас? Пожалуйста, оцените его важность по шкале от 0 до 100. Оценка ""0"" означает, что этот законопроект совершенно не важен для вас; оценка ""100"" -  очень важен для вас. ";"Пожалуйста, оцените свое отношение к этому законопроекту по шкале от 0 до 100. Оценка ""0"" означает, что вы относитесь к этому законопроекту максимально негативно; оценка ""100"" -  максимально позитивно; оценка ""50"" - безразлично, равнодушно. ";Представьте, что вы стали депутатом Государственной думы. Проголосовали или не проголосовали бы вы за этот законопроект? ;Этот законопроект нарушает права и свободы человека ;Этот законопроект позволяет защитить национальные интересы России  ;Третий законопроект предполагает введение полного запрета на процедуру аборта и уголовной ответственности для женщины, сделавшей его. ;Третий законопроект предполагает введение полного запрета на процедуру аборта и уголовной ответственности для женщины, сделавшей его. Приглашенные эксперты сделали заключение о том, что соответствующий закон нарушает права и свободы человека. ;Третий законопроект предполагает введение полного запрета на процедуру аборта и уголовной ответственности для женщины, сделавшей его. Приглашенные эксперты сделали заключение о том, что соответствующий закон позволяет защитить национальные интересы России. ;"Насколько этот законопроект важен лично для вас? Пожалуйста, оцените его важность по шкале от 0 до 100. Оценка ""0"" означает, что этот законопроект совершенно не важен для вас; оценка ""100"" -  очень важен для вас. ";"Пожалуйста, оцените свое отношение к этому законопроекту по шкале от 0 до 100. Оценка ""0"" означает, что вы относитесь к этому законопроекту максимально негативно; оценка ""100"" -  максимально позитивно; оценка ""50"" - безразлично, равнодушно. ";Представьте, что вы стали депутатом Государственной думы. Проголосовали или не проголосовали бы вы за этот законопроект? ;Этот законопроект нарушает права и свободы человека ;Этот законопроект позволяет защитить национальные интересы России  ;"Насколько этот законопроект важен лично для вас? Пожалуйста, оцените его важность по шкале от 0 до 100. Оценка ""0"" означает, что этот законопроект совершенно не важен для вас; оценка ""100"" -  очень важен для вас. ";"Пожалуйста, оцените свое отношение к этому законопроекту по шкале от 0 до 100. Оценка ""0"" означает, что вы относитесь к этому законопроекту максимально негативно; оценка ""100"" -  максимально позитивно; оценка ""50"" - безразлично, равнодушно. ";Представьте, что вы стали депутатом Государственной думы. Проголосовали или не проголосовали бы вы за этот законопроект? ;Этот законопроект нарушает права и свободы человека ;Этот законопроект позволяет защитить национальные интересы России  ;"Насколько этот законопроект важен лично для вас? Пожалуйста, оцените его важность по шкале от 0 до 100. Оценка ""0"" означает, что этот законопроект совершенно не важен для вас; оценка ""100"" -  очень важен для вас. ";"Пожалуйста, оцените свое отношение к этому законопроекту по шкале от 0 до 100. Оценка ""0"" означает, что вы относитесь к этому законопроекту максимально негативно; оценка ""100"" -  максимально позитивно; оценка ""50"" - безразлично, равнодушно. ";Представьте, что вы стали депутатом Государственной думы. Проголосовали или не проголосовали бы вы за этот законопроект? ;Этот законопроект нарушает права и свободы человека ;Этот законопроект позволяет защитить национальные интересы России  ;Третий законопроект предполагает введение административной ответственности (штрафа) для мужчин, которые носят макияж в общественных местах. ;Третий законопроект предполагает введение административной ответственности (штрафа) для мужчин, которые носят макияж в общественных местах. Приглашенные эксперты сделали заключение о том, что соответствующий закон нарушает права и свободы человека. ;Третий законопроект предполагает введение административной ответственности (штрафа) для мужчин, которые носят макияж в общественных местах. Приглашенные эксперты сделали заключение о том, что соответствующий закон позволяет защитить национальные интересы России. ;"Насколько этот законопроект важен лично для вас? Пожалуйста, оцените его важность по шкале от 0 до 100. Оценка ""0"" означает, что этот законопроект совершенно не важен для вас; оценка ""100"" -  очень важен для вас. ";"Пожалуйста, оцените свое отношение к этому законопроекту по шкале от 0 до 100. Оценка ""0"" означает, что вы относитесь к этому законопроекту максимально негативно; оценка ""100"" -  максимально позитивно; оценка ""50"" - безразлично, равнодушно. ";Представьте, что вы стали депутатом Государственной думы. Проголосовали или не проголосовали бы вы за этот законопроект? ;Этот законопроект нарушает права и свободы человека ;Этот законопроект позволяет защитить национальные интересы России  ;Пожалуйста, укажите Ваш пол;Другое;Укажите, пожалуйста, Ваш возраст.  ;Укажите, пожалуйста, в какой стране вы живете. ;Другое (укажите, пожалуйста, какой именно страны):;Пожалуйста, укажите Ваш уровень образования;Укажите, к какой из следующих групп населения по материальному положению вы могли бы себя отнести? ;Пожалуйста, укажите в каком населенном пункте Вы проживаете ;Укажите регион, в котором Вы проживаете ;Насколько вы интересуетесь политикой? ;Какую роль в Вашей жизни играет религия? ;Как часто в последнее время вы посещаете религиозные службы (за исключением свадеб и похорон) ;Q5;Q6;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14;B7;B9;B11;B14;B16;B18;B21;B23;B25;B28;B30;B32;B35;B37;B39;B42;B44;B46;začetek;konec;datum_0;datum_1;datum_2;datum_3;datum_4;datum_5;datum_6;datum_7;datum_8;datum_9;datum_10;datum_11;datum_12;datum_13;datum_14;datum_15;datum_16;datum_17;datum_18;datum_19;datum_20;datum_21;datum_22;Brskalnik;Verzija brskalnika;Operacijski sistem;Naprava;Referer;Unsubscribed;Jezik
5;0;1;0;92;;12.05.2025;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;5;5;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;50;50;6;1;1;50;50;3;1;1;-2;-2;-1;50;50;2;1;1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;3;тест;111;2;ЭТО ТЕСТ;2;5;5;-2;4;1;4;16,5,13,14,6,4,3,15,2,17,7,10,12,8,9,18,1,11;10,8,9,15,16,5,7,17,12,2,4,6,1,14,3,13,18,11;3,6,1,5,2,4;2,3,5,1,4,6;4,2,1,3;3,2,1;3,5,4,6,7,1,2;2,4,1,3;6,7,3,5,2,1,9,8,4,10;3,2,1;;;;;;;V3B2T0;V3B1T1;V3B3T2;;;;;;;;;;12.05.2025 22:42:08;12.05.2025 22:45:09;12.05.2025 22:42:12;12.05.2025 22:42:16;12.05.2025 22:42:22;12.05.2025 22:42:35;12.05.2025 22:42:46;12.05.2025 22:42:59;12.05.2025 22:43:10;12.05.2025 22:43:29;12.05.2025 22:43:36;12.05.2025 22:43:41;12.05.2025 22:43:42;;;12.05.2025 22:44:03;12.05.2025 22:44:13;12.05.2025 22:44:23;12.05.2025 22:44:24;;;;;12.05.2025 22:45:09;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36";Chrome 135.0;Win10;Računalnik;0;0;
5;0;1;0;93;;12.05.2025;1;3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;15,3,11,2,5,9,10,7,4,16,17,6,8,12,14,13,1,18;;;;;;;;;;;;;;;;;;;V4B2T1;V4B3T1;V4B1T0;;;;;;;12.05.2025 22:54:43;12.05.2025 22:54:54;12.05.2025 22:54:45;12.05.2025 22:54:50;12.05.2025 22:54:54;;;;;;;;;;;;;;;;;;;;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 YaBrowser/25.4.0.0 Safari/537.36";Chrome 134.0;Win10;Računalnik;https://iframe-tasks.yandex/;0;
5;0;1;0;94;;12.05.2025;1;3;3;4;4;4;4;4;4;3;4;4;4;3;2;2;2;4;4;4;4;3;4;3;4;3;4;4;4;4;4;4;2;2;4;4;3;4;1;2;1;2;2;2;3;3;3;4;4;4;1;1;1;1;4;4;4;3;3;3;4;4;4;5;2;2;3;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;50;68;4;3;5;50;33;3;5;4;-2;-1;-2;73;0;1;7;2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;2;-2;22;1;-2;3;2;4;80;1;4;7;3,14,11,8,7,12,10,2,13,16,5,17,18,9,15,4,1,6;3,11,8,17,2,16,10,13,18,6,12,5,15,1,7,4,14,9;5,4,6,3,1,2;1,5,2,4,6,3;4,2,1,3;1,3,2;5,6,3,7,4,1,2;1,2,3,4;9,10,1,7,6,2,3,4,5,8;1,3,2;;;;;;;;;;;;;V5B3T0;V5B1T1;V5B2T1;;;;12.05.2025 22:57:54;12.05.2025 23:05:57;12.05.2025 22:57:58;12.05.2025 22:58:01;12.05.2025 22:58:05;12.05.2025 22:58:52;12.05.2025 22:59:39;12.05.2025 23:00:20;12.05.2025 23:01:18;12.05.2025 23:02:12;12.05.2025 23:02:57;12.05.2025 23:03:03;12.05.2025 23:03:03;;;;;;;12.05.2025 23:03:51;12.05.2025 23:04:39;12.05.2025 23:05:18;12.05.2025 23:05:18;12.05.2025 23:05:57;;"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1";Safari 0.0;iOS;Telefon;https://iframe-tasks.yandex/;0;
